match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77527,bl1,2026-04-25T15:30:00,31. Spieltag,Borussia Dortmund,SC Freiburg,SIGNAL IDUNA PARK,81365,Dortmund,Freiburg,Dortmund Hauptbahnhof,51.5169394,7.460503,Freiburg Hauptbahnhof,47.9982505,7.8423399
77528,bl1,2026-04-25T15:30:00,31. Spieltag,1. FSV Mainz 05,FC Bayern München,Mewa Arena,33305,Mainz,München,Mainz Hauptbahnhof,50.001113,8.258723,München Hauptbahnhof,48.1407253,11.5569426
77529,bl1,2026-04-25T15:30:00,31. Spieltag,RB Leipzig,1. FC Union Berlin,Red Bull Arena,47069,Leipzig,Berlin,Leipzig Hauptbahnhof,51.3465518,12.3830858,Berlin Hauptbahnhof,52.5249451,13.3696614
77530,bl1,2026-04-25T15:30:00,31. Spieltag,VfB Stuttgart,SV Werder Bremen,MHPArena Stuttgart,60449,Stuttgart,Bremen,Stuttgart Hauptbahnhof,48.7842663,9.1821173,Bremen Hauptbahnhof,53.0831456,8.8135421
77531,bl1,2026-04-25T15:30:00,31. Spieltag,VfL Wolfsburg,Borussia Mönchengladbach,Volkswagen Arena,28917,Wolfsburg,Mönchengladbach,Wolfsburg Hauptbahnhof,52.4291611,10.7878068,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694
77532,bl1,2026-04-25T15:30:00,31. Spieltag,FC Augsburg,Eintracht Frankfurt,WWK ARENA,30660,Augsburg,Frankfurt (Main),Augsburg Hauptbahnhof,48.365595,10.8863551,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808
77533,bl1,2026-04-25T15:30:00,31. Spieltag,1. FC Heidenheim 1846,FC St. Pauli,Voith-Arena,15000,Heidenheim,Hamburg,Heidenheim (Zentrum),48.6767637,10.152923,Hamburg Hauptbahnhof,53.5531993,10.0064364
77534,bl1,2026-04-25T15:30:00,31. Spieltag,1. FC Köln,Bayer 04 Leverkusen,RheinEnergieSTADION,50000,Köln,Leverkusen,Köln Hauptbahnhof,50.9427839,6.9590705,Leverkusen (Zentrum),51.0324743,6.9881194
77535,bl1,2026-04-25T15:30:00,31. Spieltag,Hamburger SV,TSG Hoffenheim,Volksparkstadion,57000,Hamburg,Sinsheim,Hamburg Hauptbahnhof,53.5531993,10.0064364,Sinsheim Hauptbahnhof,49.2501683,8.8754995
77536,bl1,2026-05-02T15:30:00,32. Spieltag,FC Bayern München,1. FC Heidenheim 1846,Allianz Arena,75000,München,Heidenheim,München Hauptbahnhof,48.1407253,11.5569426,Heidenheim (Zentrum),48.6767637,10.152923
77537,bl1,2026-05-02T15:30:00,32. Spieltag,Bayer 04 Leverkusen,RB Leipzig,BayArena,30210,Leverkusen,Leipzig,Leverkusen (Zentrum),51.0324743,6.9881194,Leipzig Hauptbahnhof,51.3465518,12.3830858
77538,bl1,2026-05-02T15:30:00,32. Spieltag,Eintracht Frankfurt,Hamburger SV,Deutsche Bank Park,59500,Frankfurt (Main),Hamburg,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808,Hamburg Hauptbahnhof,53.5531993,10.0064364
77539,bl1,2026-05-02T15:30:00,32. Spieltag,SC Freiburg,VfL Wolfsburg,Europa-Park Stadion,34700,Freiburg,Wolfsburg,Freiburg Hauptbahnhof,47.9982505,7.8423399,Wolfsburg Hauptbahnhof,52.4291611,10.7878068
77540,bl1,2026-05-02T15:30:00,32. Spieltag,SV Werder Bremen,FC Augsburg,Weserstadion,42100,Bremen,Augsburg,Bremen Hauptbahnhof,53.0831456,8.8135421,Augsburg Hauptbahnhof,48.365595,10.8863551
77541,bl1,2026-05-02T15:30:00,32. Spieltag,Borussia Mönchengladbach,Borussia Dortmund,Stadion im Borussia-Park,54042,Mönchengladbach,Dortmund,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694,Dortmund Hauptbahnhof,51.5169394,7.460503
77542,bl1,2026-05-02T15:30:00,32. Spieltag,1. FC Union Berlin,1. FC Köln,Stadion An der Alten Försterei,22012,Berlin,Köln,Berlin Hauptbahnhof,52.5249451,13.3696614,Köln Hauptbahnhof,50.9427839,6.9590705
77543,bl1,2026-05-02T15:30:00,32. Spieltag,FC St. Pauli,1. FSV Mainz 05,Millerntor-Stadion,29546,Hamburg,Mainz,Hamburg Hauptbahnhof,53.5531993,10.0064364,Mainz Hauptbahnhof,50.001113,8.258723
77544,bl1,2026-05-02T15:30:00,32. Spieltag,TSG Hoffenheim,VfB Stuttgart,PreZero Arena,30150,Sinsheim,Stuttgart,Sinsheim Hauptbahnhof,49.2501683,8.8754995,Stuttgart Hauptbahnhof,48.7842663,9.1821173
77545,bl1,2026-05-09T15:30:00,33. Spieltag,Borussia Dortmund,Eintracht Frankfurt,SIGNAL IDUNA PARK,81365,Dortmund,Frankfurt (Main),Dortmund Hauptbahnhof,51.5169394,7.460503,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808
77546,bl1,2026-05-09T15:30:00,33. Spieltag,1. FSV Mainz 05,1. FC Union Berlin,Mewa Arena,33305,Mainz,Berlin,Mainz Hauptbahnhof,50.001113,8.258723,Berlin Hauptbahnhof,52.5249451,13.3696614
77547,bl1,2026-05-09T15:30:00,33. Spieltag,RB Leipzig,FC St. Pauli,Red Bull Arena,47069,Leipzig,Hamburg,Leipzig Hauptbahnhof,51.3465518,12.3830858,Hamburg Hauptbahnhof,53.5531993,10.0064364
77548,bl1,2026-05-09T15:30:00,33. Spieltag,VfB Stuttgart,Bayer 04 Leverkusen,MHPArena Stuttgart,60449,Stuttgart,Leverkusen,Stuttgart Hauptbahnhof,48.7842663,9.1821173,Leverkusen (Zentrum),51.0324743,6.9881194
77549,bl1,2026-05-09T15:30:00,33. Spieltag,VfL Wolfsburg,FC Bayern München,Volkswagen Arena,28917,Wolfsburg,München,Wolfsburg Hauptbahnhof,52.4291611,10.7878068,München Hauptbahnhof,48.1407253,11.5569426
77550,bl1,2026-05-09T15:30:00,33. Spieltag,FC Augsburg,Borussia Mönchengladbach,WWK ARENA,30660,Augsburg,Mönchengladbach,Augsburg Hauptbahnhof,48.365595,10.8863551,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694
77551,bl1,2026-05-09T15:30:00,33. Spieltag,TSG Hoffenheim,SV Werder Bremen,PreZero Arena,30150,Sinsheim,Bremen,Sinsheim Hauptbahnhof,49.2501683,8.8754995,Bremen Hauptbahnhof,53.0831456,8.8135421
77552,bl1,2026-05-09T15:30:00,33. Spieltag,1. FC Köln,1. FC Heidenheim 1846,RheinEnergieSTADION,50000,Köln,Heidenheim,Köln Hauptbahnhof,50.9427839,6.9590705,Heidenheim (Zentrum),48.6767637,10.152923
77553,bl1,2026-05-09T15:30:00,33. Spieltag,Hamburger SV,SC Freiburg,Volksparkstadion,57000,Hamburg,Freiburg,Hamburg Hauptbahnhof,53.5531993,10.0064364,Freiburg Hauptbahnhof,47.9982505,7.8423399
77554,bl1,2026-05-16T15:30:00,34. Spieltag,FC Bayern München,1. FC Köln,Allianz Arena,75000,München,Köln,München Hauptbahnhof,48.1407253,11.5569426,Köln Hauptbahnhof,50.9427839,6.9590705
77555,bl1,2026-05-16T15:30:00,34. Spieltag,Bayer 04 Leverkusen,Hamburger SV,BayArena,30210,Leverkusen,Hamburg,Leverkusen (Zentrum),51.0324743,6.9881194,Hamburg Hauptbahnhof,53.5531993,10.0064364
77556,bl1,2026-05-16T15:30:00,34. Spieltag,Eintracht Frankfurt,VfB Stuttgart,Deutsche Bank Park,59500,Frankfurt (Main),Stuttgart,Frankfurt (Main) Hauptbahnhof,50.1066539,8.6625808,Stuttgart Hauptbahnhof,48.7842663,9.1821173
